Title,Desc_of_movies,IMDB_ID,Directors,Actors,Genres,Languages
10 Cloverfield Lane ," After breaking up with her fiancé, a woman has an accident and wakes up in a bunker with a man who convinces her there's been an apocalyptic event.",1179933,Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin, Suzanne Cryer, Bradley Cooper, Sumalee Montano, Frank Mottek, Kayla Bechor","Action, Drama, Horror, Mystery, Sci-Fi, Thriller",English
10 Days in Sun City ,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",10499474,Adze Ugah,"Gbenro Ajibade, Adesua Etomi-Wellington, Ayo Makun, Richard Mofe-Damijo, Thenjiwe Moseley","Adventure, Comedy, Romance",English
10 jours en or ,"When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",1729630,Nicolas Brossette,"Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie, Grégoire Oestermann, Tatiana Rojo, Stéphanie Pillonca, Eric Godon, Alain Payen, Vincent Demoury, Sabine Moindrot, Marie-Julie Baup, Patrice Le Mehauté, Sebastien Bihi, Frédéric Gorny, Alain Buron, Laurent Mendy, Paul-Antoine Chenoz, David Salles, Clio Baran, Maëlie Laventure, Zohra Benali, Cécile Dufraisse, Annik Riquet, Jocelyn Caron, Patricia Loison, Bruno Versaille, Sébastien Autret, Jérémie Steib, Françoise Guiol, Gabriel Hilaire, Anne-Gaëlle Jourdain, Dolly West","Comedy, Drama",French
100 Days Of Solitude (100 días de soledad) ,"Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.",8156742,"José Díaz, Gerardo Olivares",José Díaz,"Documentary, Drama",Spanish
100 Metros ,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",5089786,Marcel Barrena,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer, Gael Díaz, Maria de Medeiros, Andrés Velencoso, Betsy Túrnez, Andrea Trepat, Cristina Fernández Pintado, Marià Vila de Abadal, Adolf Barceló, Maria Rodríguez Soto, Azael Rastrero, Neyzan Sola, Leo Arribas, Leo García, Alexis Bracero, Sergi Vallès, Mireia Pérez, Íker Troyano, Marc Pujol, Raül Tortosa, Elisa Crehuet, Roberta Burns, Marcel Barrena, Pau Vallvé, Daniel Maia, Mireia Rey, Aina Cruz, Ariadna Calabuig, Felipe Velasco, Juan Manuel Alemany, Mireia Solís, Josep Cárceles, Joan Casadevall Rovira, Albert Prat, Camilo Villaverde","Biography, Comedy, Drama",Spanish
الف مبروك (1000 Mabrouk) ,"On his wedding day, an arrogant, greedy accountant experiences a series of calamities that keep replaying as he lives the same day over and over again.",2210425,Ahmad Nader Galal,"Ahmed Helmy, Laila Ezz El Arab, Mahmood El-Fishawi, Muhammad Farrag, Sarah Abdulrahman, Rahmah Hasan, Amir Salah, Hani El-Sabbagh, Musa Abbas, Ahmad Abdulmunem, Midhat Abu-Saif, Aminah Ali, Ahmad Asaker, Wael El-Awni, Abir El-Dhamarani, Gamil El-Gindi, Muhammad El-Kilani, Muhammad El-Manadili, Umar Fuad El-Muhandes, Ahmad El-Naggar, Ahmad El-Numrusi, Mohamed Alam Eldeen, Amr Farid, Bayyumi Fuad, Bayyumi Haddad, Halimo, Nabawi Hamed, Naser Id, Muhammad Khamis, Muhammd Mamdooh, Muna Mamdooh, Fadwa Mamdouh, Muhammad El-Sayyed Mustafa, Rami Nader, Layla Nagati, Samir Rabi, Mustafa Ramadhan, Nani Saduddin, Abulrahman Sara","Comedy, Drama, Fantasy, Thriller",Arabic
1000 Rupee Note ,"After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",2937158,Shrihari Sathe,"Devendra Gaikwad, Usha Naik, Pooja Nayak, Sandeep Pathak, Shekhar Sathe, Prashant Tapasvi, Ganesh Yadav, Shrikant Yadav",Drama,Marathi
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared ,"In need of money, an eccentric ex-spy and his younger octogenarian partner embark on an international quest for a valuable Soviet soda formula.",4940370,"Felix Herngren, Måns Herngren","Robert Gustafsson, Iwar Wiklander, David Wiberg, Shima Niavarani, Jens Hultén, Svetlana Rodina Ljungkvist, Eric Stern, Ralph Carlsson, Colin McFarlane, Eleanor Matsuura, Georg Nikoloff, Jay Simpson, Crystal the Monkey, David Schaal, Valentin Smirnitskiy, Darrell Duffey, Cory Peterson, Joseph Long, Erni Mangold, Daniel Steiner, David Shackleton, Sibylle Bernardin, Shin-Fei Chen, Guhn Andersson, Niclas Angerborn, Dagny Carlsson, Caroline Boulton, Hans Ingemansson, Albin Olsson, Suman C. Tharan","Adventure, Comedy, Crime","Swedish, English, German, Russian"
12 Gifts of Christmas ,"When a starving artist finds work as a personal shopper, she meets a stressed adman who becomes sold on more than her ability to buy holiday presents.",5133810,Peter Sullivan,"Katrina Law, Aaron O'Connell, Donna Mills, Melanie Nelson, Alesandra Durham, Jill Adler, Michael Burchard, Laiya White, Alyssa Buckner, JJ Neward, Matthew Sincell, Koleman Stinger, Enoch Ellis, Alex Nibley, Joy Haynes, Alexa Re, Brandon Ray Olive, Raquel Horton, Bryce Fernelius, Shareece Pfeiffer, James Anthony Green, Margo Watson, Susan Dolan Stevens, Tito Livas, John Forker, Devin K. Hansen, Debbie Starr Jackson, Michael McQuain, Marilyn Miller, Sheila Orey Sorensen, Cathy Tidwell, Jaci Twiss","Comedy, Romance",English
12 Monkeys ," In the year 2035, a convict volunteers to travel back in time to determine the origin of a deadly virus that wiped out the population decades earlier.",114746,Terry Gilliam,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance, Vernon Campbell, H. Michael Walls, Bob Adrian, Simon Jones, Carol Florence, Bill Raymond, Ernest Abuba, Irma St. Paule, Madeleine Stowe, Joey Perillo, Bruce Kirkpatrick, Wilfred Williams, Rozwill Young, Brad Pitt, Nell Johnson, Frederick Strother, Rick Warner, Frank Gorshin, Anthony 'Chip' Brienza, Joilet Harris, Drucie McDaniel, John Blaisse, Louis Lippa, Stan Kang, Pat Dias, Aaron Michael Lacey, David Morse, Charles Techman, Jann Ellis, Johnnie Hobbs Jr., Janet Zappala, Thomas Roy, Harry O'Toole, Korchenko, Chuck Jeffreys, LisaGay Hamilton, Felix Pire, Matt Ross, Barry Price, John Panzarella, Christopher Plummer, Larry Daly, Arthur Fennell, Karl Warren, Christopher Meloni, Paul Meshejian, Robert O'Neill, Kevin Thigpen, Lee Golden, Joseph McKenna, Jeff Tanner, Faith Potts, Michael Ryan Segal, Annie Golden, Lisa Talerico, Stephen Bridgewater, Ray Huffman, Jodi Dawson, Jack Dougherty, Lenny Daniels, Herbert C. Hauls Jr., Charley Scalies, Carolyn Walker, Tiffany Baldwin, Bart the Bear, C.J. Byrnes, Phillip V. Caruso, Tom Detrik, Donald Faison, Kelly Farnan, Joe Gerety, Laura Glas, Robert Gleason, John Hagy, Adam Hatley, Bonnie Loev, Julie Mabry, Raymond Mamrak, Sal Mazzotta, Roger Pratt, Allelon Ruggiero, Renee Spei, Richard Stanley, Thang, Susan Wool-Rush","Mystery, Sci-Fi, Thriller","English, French"
12 Rounds 3: Lockdown ,Detective John Shaw finds himself hunted by his fellow officers after he uncovers evidence linking his ex-partner to the murder of a drug dealer.,3957956,Stephen Reynolds,"Jonathan Good, Roger Cross, Daniel Cudmore, Lochlyn Munro, Ty Olsson, Sarah Smyth, Rebecca Marshall, Kirby Morrow, Samuel Smith, Toby Levins, James Michalopolous, Jaeson Lee, Bill Dow, Sharon Taylor, Hugo Steele, Matthew Harrison, Darren Dolynski, Gary Peterman, Avery Konrad, Andrew Herr, Courtney Hojenski, Jason Burkart, Lee Tomaschefski, Tony Skinner","Action, Crime, Thriller",English
122,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape -- before death finds them.",7867670,Yasir Al-Yasiri,"Ahmed Dawood, Tarek Lotfy, Amina Khalil, Ahmad El-Fishawi, Mahmoud Hijazi, Jihane Khalil, Muhammad Lutfi, Asmaa Galal, Tara Emad, Sabry Abdel Moniem, Muhammad Mamdooh, Farouk Yahia","Horror, Thriller",Arabic
