Title,Desc_of_movies,IMDB_ID
10 Cloverfield Lane ," After breaking up with her fiancé, a woman has an accident and wakes up in a bunker with a man who convinces her there's been an apocalyptic event.",1179933
10 Days in Sun City ,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",10499474
10 jours en or ,"When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",1729630
100 Days Of Solitude (100 días de soledad) ,"Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.",8156742
100 Metros ,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",5089786
الف مبروك (1000 Mabrouk) ,"On his wedding day, an arrogant, greedy accountant experiences a series of calamities that keep replaying as he lives the same day over and over again.",2210425
1000 Rupee Note ,"After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",2937158
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared ,"In need of money, an eccentric ex-spy and his younger octogenarian partner embark on an international quest for a valuable Soviet soda formula.",4940370
12 Gifts of Christmas ,"When a starving artist finds work as a personal shopper, she meets a stressed adman who becomes sold on more than her ability to buy holiday presents.",5133810
12 Monkeys ," In the year 2035, a convict volunteers to travel back in time to determine the origin of a deadly virus that wiped out the population decades earlier.",114746
12 Rounds 3: Lockdown ,Detective John Shaw finds himself hunted by his fellow officers after he uncovers evidence linking his ex-partner to the murder of a drug dealer.,3957956
122,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape -- before death finds them.",7867670
13 Going on 30 ," When a geeky teen's birthday party goes awry and she makes a wish that she could be 30, she wakes up to discover she's flash-forwarded 17 years.",337563
13 Hours: The Secret Soldiers of Benghazi ," Members of an elite security team battle to save the lives of trapped U.S. Consulate personnel under attack by armed terrorists in Benghazi, Libya.",4172430
13TH ,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",5895028
13TH: A Conversation with Oprah Winfrey & Ava DuVernay ,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.",6491068
14 Minutes from Earth ,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,5626716
